Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0164912,2023-04-25,2023-04-25,,"O Pequeno Stuart Little","Stuart Little",https://www.imdb.com/title/tt0164912/,Filme,6.0,84,1999,"Aventura, Comédia, Família, Fantasia",161586,2000-01-14,"Rob Minkoff",5,2023-04-25
2,tt0416236,2023-04-25,2023-04-25,,"As Crônicas de Spiderwick","The Spiderwick Chronicles",https://www.imdb.com/title/tt0416236/,Filme,6.5,96,2008,"Ação, Aventura, Drama, Família, Fantasia, Suspense",109654,2008-03-21,"Mark Waters",4,2023-04-25
3,tt0406375,2023-04-25,2023-04-25,,"Zathura: Uma Aventura Espacial","Zathura: A Space Adventure",https://www.imdb.com/title/tt0406375/,Filme,6.3,101,2005,"Ação, Aventura, Comédia, Família, Fantasia, Ficção científica",127562,2006-01-13,"Jon Favreau",2,2023-04-25
4,tt1155076,2023-04-25,2023-04-25,,"Karate Kid","The Karate Kid",https://www.imdb.com/title/tt1155076/,Filme,6.3,140,2010,"Ação, Drama, Família, Esportes",229125,2010-08-27,"Harald Zwart",7,2023-04-25
5,tt0396752,2023-04-25,2023-04-25,,"Nanny McPhee, a Babá Encantada","Nanny McPhee",https://www.imdb.com/title/tt0396752/,Filme,6.6,97,2005,"Comédia, Família, Fantasia",92405,2006-01-20,"Kirk Jones",1,2023-04-25
6,tt0405325,2023-04-25,2023-04-25,,"Sky High: Super Escola de Heróis","Sky High",https://www.imdb.com/title/tt0405325/,Filme,6.3,100,2005,"Ação, Comédia, Família, Ficção científica",101816,2005-10-07,"Mike Mitchell",2,2023-04-25
7,tt0227538,2023-04-25,2023-04-25,,"Pequenos Espiões","Spy Kids",https://www.imdb.com/title/tt0227538/,Filme,5.7,88,2001,"Ação, Aventura, Comédia, Família, Ficção científica",136979,2001-07-06,"Robert Rodriguez",6,2023-04-25
8,tt0287717,2023-04-25,2023-04-25,,"Pequenos Espiões 2: A Ilha dos Sonhos Perdidos","Spy Kids 2: Island of Lost Dreams",https://www.imdb.com/title/tt0287717/,Filme,5.3,100,2002,"Ação, Aventura, Comédia, Família, Ficção científica",78251,2002-11-01,"Robert Rodriguez",6,2023-04-25
9,tt0338459,2023-04-25,2023-04-25,,"Pequenos Espiões 3: Game Over","Spy Kids 3: Game Over",https://www.imdb.com/title/tt0338459/,Filme,4.4,84,2003,"Ação, Aventura, Comédia, Família, Ficção científica",71930,2003-10-10,"Robert Rodriguez",6,2023-04-25
10,tt0960731,2023-04-25,2023-04-25,,"Um Faz de Conta Que Acontece","Bedtime Stories",https://www.imdb.com/title/tt0960731/,Filme,6.0,99,2008,"Aventura, Comédia, Família, Fantasia, Romance, Ficção científica",106898,2009-01-23,"Adam Shankman",6,2023-04-25
